area_id,impact_id,name,name_html,category,geography
5,0,"The broader Black Lives Matter movement encompasses many focus areas, including the protection of black youth who are often directly exposed to racist policing methods and brutality. Know Your Rights Camp is a series of in-person civil rights trainings ""to raise awareness on self-empowerment 💪🏿 and interacting with law enforcement 🚔,"" founded by NFL activist Colin Kaepernick. Its model could be expanded to include digital rights.","The broader Black Lives Matter movement encompasses many focus areas, including the protection of black youth who are often directly exposed to racist policing methods and brutality. <a href=""https://www.knowyourrightscamp.com/"" target=""_blank"">Know Your Rights Camp</a> is a series of in-person civil rights trainings ""to raise awareness on self-empowerment 💪🏿 and interacting with law enforcement 🚔,"" founded by NFL activist Colin Kaepernick. Its model could be expanded to include digital rights.",Social movement,United States
5,0,"Atima Lui is an activist who ""helps leaders of all racial identities Give Reparations to Black people."" ""She created a tool called ""Nudemeter"" that used artificial intelligence to bring a full spectrum of skin tones to make up counter. As Wired reported ""Lui had to train her algorithm with images that more accurately represented the skin-colour spectrum, from the palest whites to the darkest browns. To this end, she issued call outs encouraging volunteers of all skin tones to submit photos of themselves to aid in her mission to “change the standard of beauty to match the full range of diversity in human skin.""","<a href=""https://www.atimalui.com/"" target=""_blank"">Atima Lui</a> is an activist who ""helps leaders of all racial identities Give Reparations to Black people."" ""She created a tool called ""Nudemeter"" that used artificial intelligence to bring a full spectrum of skin tones to make up counter. As Wired <a href=""https://www.wired.co.uk/article/atima-lui-nudemeter-beauty-industry"" target=""_blank"">reported</a> ""Lui had to train her algorithm with images that more accurately represented the skin-colour spectrum, from the palest whites to the darkest browns. To this end, she issued call outs encouraging volunteers of all skin tones to submit photos of themselves to aid in her mission to “change the standard of beauty to match the full range of diversity in human skin.""",Civil society,United States
3,0,Gender Avenger builds digital tools to draw attention to the gender imbalance on panels and events and in speaking time during meetings.,"<a href=""https://www.genderavenger.com/"" target=""_blank"">Gender Avenger</a> builds digital tools to draw attention to the gender imbalance on panels and events and in speaking time during meetings.",Digital rights,United States
3,0,"Global Fund for Women, founded in 1987, is a non-profit foundation funding women's human rights initiatives offering flexible support to a diverse group of activist partners.","<a href=""https://www.globalfundforwomen.org/"" target=""_blank"">Global Fund for Women</a>, founded in 1987, is a non-profit foundation funding women's human rights initiatives offering flexible support to a diverse group of activist partners.",Civil society,Globally
5,0,"ProPublica is an investigative reporting organization that has led several high-profile challenges to unjust machine decision making tech. They influenced Facebook to disable ad targeting options and settle the legal dispute with civil rights groups, and challenged the City of New York's proprietary DNA-matching software used in criminal convictions.","<a href=""https://www.propublica.org/"" target=""_blank"">ProPublica</a> is an investigative reporting organization that has led several high-profile challenges to unjust machine decision making tech. They influenced Facebook to disable ad targeting options and settle the legal dispute with civil rights groups, and challenged the City of New York's proprietary <a href=""https://www.propublica.org/article/propublica-seeks-source-code-for-new-york-city-disputed-dna-software"" target=""_blank"">DNA-matching</a> software used in criminal convictions.",Civil society,United States
3,0,"Q, the Genderless AI voice was designed to end gender bias in AI consumer tech. Q is a collaboration between Copenhagen Pride, Virtue, Equal AI, Koalition Interactive, and Thirty Sounds Good.","<a href=""https://www.genderlessvoice.com/"" target=""_blank"">Q, the Genderless AI voice</a> was designed to end gender bias in AI consumer tech. Q is a collaboration between Copenhagen Pride, Virtue, Equal AI, Koalition Interactive, and Thirty Sounds Good.",Digital rights,Globally
5,0,The Colored Girls Museum built a VR exploration of its collection so visitors can access it virtually.,"<a href=""https://www.thecoloredgirlsmuseum.com/media"" target=""_blank"">The Colored Girls Museum</a> built a VR exploration of its collection so visitors can access it virtually.",Civil society,United States
5,0,"Race Forward, founded in 1981, the organization catalyzes movement building for racial justice. In partnership with communities, organizations, and sectors, they build strategies to advance racial justice in our policies, institutions, and culture.","<a href=""https://www.raceforward.org/"" target=""_blank"">Race Forward</a>, founded in 1981, the organization catalyzes movement building for racial justice. In partnership with communities, organizations, and sectors, they build strategies to advance racial justice in our policies, institutions, and culture.",Civil society,Globally
5,0,"Cathy O'Neill has written extensively about problems with using AI in a criminal justice context, as with bail-setting algorithms used by the City of Philadelphia. Her book, Weapons of Math Destruction, is an early and widely-cited source on these issues.","<a href=""https://mathbabe.org/"" target=""_blank"">Cathy O'Neill</a> has written extensively about problems with using AI in a criminal justice context, as with <a href=""https://www.bloomberg.com/opinion/articles/2018-03-09/big-data-alone-can-t-fix-a-broken-bail-system?utm_source=MIT+Technology+Review&amp;utm_campaign=0a2dc163c1-EMAIL_CAMPAIGN_2018_03_12&amp;utm_medium=email&amp;utm_term=0_997ed6f472-0a2dc163c1-157051289"" target=""_blank"">bail-setting algorithms</a> used by the City of Philadelphia. Her book, <a href=""https://en.wikipedia.org/wiki/Weapons_of_Math_Destruction"" target=""_blank"">Weapons of Math Destruction</a>, is an early and widely-cited source on these issues.",Academic / Researcher,United States
5,0,"Racial Equity Tools is designed to support individuals and groups working to achieve racial equity. This site offers tools, research, tips, curricula and ideas for people who want to increase their own understanding and to help those working toward justice at every level — in systems, organizations, communities, and the culture at large.","<a href=""https://www.racialequitytools.org/home"" target=""_blank"">Racial Equity Tools</a> is designed to support individuals and groups working to achieve racial equity. This site offers tools, research, tips, curricula and ideas for people who want to increase their own understanding and to help those working toward justice at every level — in systems, organizations, communities, and the culture at large.",Civil society,United States
4,0,"The Anti-Defamation League's (founded 1913) mission is to stop the defamation of the Jewish people, and ensure fair treatment for all. ""ADL builds bridges of communication, understanding and respect among diverse communities."" They founded a Center for Technology and Society to specifically confront cyberhate, online harassment, and misuses of technology.","<a href=""https://www.adl.org/"" target=""_blank"">The Anti-Defamation League's</a> (founded 1913) mission is to stop the defamation of the Jewish people, and ensure fair treatment for all. ""ADL builds bridges of communication, understanding and respect among diverse communities."" They founded a <a href=""https://www.adl.org/who-we-are/our-organization/advocacy-centers/center-for-technology-and-society"" target=""_blank"">Center for Technology and Society</a> to specifically confront cyberhate, online harassment, and misuses of technology.",Civil society,United States
3,0,The Allen Institute for AI in collaboration with the University of Washington: Researchers created an AI-based tool that rewrites text to correct potential gender bias in character portrayals.,"<a href=""https://allenai.org/"" target=""_blank"">The Allen Institute for AI</a> in collaboration with the University of Washington: Researchers created an <a href=""https://arxiv.org/pdf/2010.13816.pdf"" target=""_blank"">AI-based tool</a> that rewrites text to correct potential gender bias in character portrayals.",Academic / Researcher,United States
3,0,"The AI Now Institute published a ""Discriminating Systems: Gender, Race, and Power in AI"" report that finds a diversity crisis in the AI sector across gender and race, and that simply promoting 'women in tech' will likely lead to benefits for white women only. It also questions the use of AI systems for the classification, detection, and prediction of race and gender.","<a href=""https://ainowinstitute.org/"" target=""_blank"">The AI Now Institute</a> published a ""<a href=""https://ainowinstitute.org/discriminatingsystems.pdf"" target=""_blank"">Discriminating Systems: Gender, Race, and Power in AI""</a> report that finds a diversity crisis in the AI sector across gender and race, and that simply promoting 'women in tech' will likely lead to benefits for white women only. It also questions the use of AI systems for the classification, detection, and prediction of race and gender.",Academic / Researcher,United States
5,0,"The ACLU’s Speech, Privacy, and Technology Project is fighting to ban the use of facial recognition technology like Clearview by law enforcement agencies, including a lawsuit against Clearview in Illinois.","The <a href=""https://www.aclu.org/press-releases/aclu-sues-clearview-ai"" target=""_blank"">ACLU’s Speech, Privacy, and Technology Project</a> is fighting to ban the use of facial recognition technology like Clearview by law enforcement agencies, including a lawsuit against Clearview in Illinois.",Civil society,United States
