id,name
0,Bias and discrimination
1,Discrimination against LGBTQI+
2,Discrimination against migrants
3,Economic harm and inequality
4,Energy consumption
5,Environmental destruction and climate change
6,Exploitation of workers
7,Far-right extremism and radicalization
8,Gender-based violence
9,Inaccessible tech
10,Lack of data
11,Manipulation
12,Monopoly and centralization
13,Opaque systems prevent accountability
14,Pro-social AI
15,Sexualization
16,Surveillance
17,Violation of consumer rights
18,Violation of human rights
19,Violation of privacy
20,Violence/hate speech
21,Widening geographic inequality
