area_id,impact_id,name,name_html,info,info_html,geography
3,0,"The default voices of AI assistants are overwhelmingly female, perpetuating gender roles and stereotypes.","<a href=""https://www.nytimes.com/2019/05/22/world/siri-alexa-ai-gender-bias.html"" target=""_blank"">The default voices of AI assistants are overwhelmingly female, perpetuating gender roles and stereotypes.</a>",Gendered stereotypes result in sexism and can create structural barriers that perpetuate gender inequality.,Gendered stereotypes result in sexism and can create structural barriers that perpetuate gender inequality.,Globally
3,0,"Predictive AI reinforces stereotypes of poor girls and women, stripping autonomy.","Predictive AI reinforces stereotypes of poor girls and women, stripping autonomy.","For example, Microsoft Azure created the machine learning platform for Plataforma Técnologica de Intervención Social in Salta, Argentina, which used bad data (biased, incomplete) for an anti-rights agenda: According to the commissioning party's narratives, if the Ministry have enough information from poor families, conservative public policies can be deployed to predict and avoid abortions by poor women. The public's persistent belief in the infallibility of mathematically-derived algorithms presents another challenge to growing digital rights movements.","For example, Microsoft Azure created the machine learning platform for <a href=""https://www.giswatch.org/node/6203"" target=""_blank"">Plataforma Técnologica de Intervención Soci</a>al in Salta, Argentina, which used bad data (biased, incomplete) for an anti-rights agenda: According to the commissioning party's narratives, if the Ministry have enough information from poor families, conservative public policies can be deployed to predict and avoid abortions by poor women. The public's persistent belief in the infallibility of mathematically-derived algorithms presents another challenge to growing digital rights movements.",Other
3,0,AI tools routinely make sexist assumptions.,AI tools routinely make sexist assumptions.,"For example, the Genderify service assumed a name with the ""Dr."" honorific must be a male name. It also forced 100% of humans into the gender binary with its judgements. The service was widely ridiculed and shut down soon after launching.","For example, the <a href=""https://www.theverge.com/2020/7/29/21346310/ai-service-gender-verification-identification-genderify#:~:text=Genderify%2C%20a%20new%20service%20that,be%20in%20the%20latter%20camp."" target=""_blank"">Genderify service</a> assumed a name with the ""Dr."" honorific must be a male name. It also forced 100% of humans into the gender binary with its judgements. The service was widely ridiculed and shut down soon after launching.",Globally
1,0,Machine learning systems taught with historical data often cement existing inequalities into place.,Machine learning systems taught with historical data often cement existing inequalities into place.,"The result is that those most in need — of a loan, job, university acceptance, or housing — could be the exact groups unfairly locked out based on inaccurate and biased training data.For example, in professional recruiting, matching algorithms that rely on large, unstructured databases risk generating biased profiles of candidates. Certain candidates on gig or recruiting platforms might receive limited employment opportunities or degraded working conditions, thereby perpetuating pre-existing injustices. Litigation and regulatory processes have been slow to reform such algorithmic labor platforms, making it difficult to prove a case and win remuneration against unfair treatment.","The result is that those most in need — of a loan, job, university acceptance, or housing — could be the exact groups unfairly locked out based on inaccurate and biased training data.<br/><br/>For example, in professional recruiting, matching algorithms that rely on large, unstructured databases risk generating biased profiles of candidates. Certain candidates on gig or recruiting platforms might receive limited employment opportunities or degraded working conditions, thereby perpetuating pre-existing injustices. Litigation and regulatory processes have been slow to reform such algorithmic labor platforms, making it difficult to prove a case and win remuneration against unfair treatment.",Globally
0,0,"Discrimination related to ""edge cases.""","Discrimination related to ""edge cases.""","AI design choices that leave a margin of error and allow ""edge cases"" might endanger and discriminate against the communities representing those cases. In 2020, Facebook’s automated content moderation system accidentally flagged posts from Nigerian activists protesting the Special Anti-Robbery Squad (SARS), a controversial police agency that activists say routinely carry out extrajudicial killings against young Nigerians, because the acronym “SARS” was listed by Facebook’s algorithm to be misinformation about the COVID-19 virus.","AI design choices that leave a margin of error and allow ""edge cases"" might endanger and discriminate against the communities representing those cases. In 2020, <a href=""https://slate.com/technology/2020/10/facebook-instagram-endsars-protests-nigeria.html%E2%80%8B."" target=""_blank"">Facebook’s automated content moderation system accidentally flagged posts</a> from Nigerian activists protesting the Special Anti-Robbery Squad (SARS), a controversial police agency that activists say routinely carry out extrajudicial killings against young Nigerians, because the acronym “SARS” was listed by Facebook’s algorithm to be misinformation about the COVID-19 virus.",Globally
3,0,Women are more vulnerable to automation of jobs.,Women are more vulnerable to automation of jobs.,"There's ""a growing body of evidence that automation is disproportionately impacting women, with the overwhelming majority of high paid, high-tech jobs taken up by men,"" according to Dr Cevat Giray Aksoy. In this way, automation threatens to further exacerbate the existing gender pay gap.","There's ""a growing body of evidence that automation is disproportionately impacting women, with the overwhelming majority of high paid, high-tech jobs taken up by men,"" <a href=""https://www.independent.co.uk/news/uk/home-news/robots-gender-pay-gap-uk-automation-work-a9622511.html"" target=""_blank"">according to Dr Cevat Giray Aksoy</a>. In this way, automation threatens to further exacerbate the existing gender pay gap.",Globally
4,0,AI discriminates against people for reasons outside of their control violating human rights.,AI discriminates against people for reasons outside of their control violating human rights.,"AI systems are already discriminating against people for reasons outside of their control, in violation of their inalienable human rights. Whether that harm is predictable, as with a gender-assuming service like Genderify that forces people into a binary based off a poorly-trained learning model, or unexpected, it is unconscionable and, in most jurisdictions, illegal.","AI systems are already discriminating against people for reasons outside of their control, in violation of their inalienable human rights. Whether that harm is predictable, as with a gender-assuming service like <a href=""https://syncedreview.com/2020/07/30/ai-powered-genderify-platform-shut-down-after-bias-based-backlash/"" target=""_blank"">Genderify</a> that forces people into a binary based off a poorly-trained learning model, or unexpected, it is unconscionable and, in most jurisdictions, illegal.",n/a
5,0,Racial bias skews algorithms widely used to guide care from heart surgery to birth.,"<a href=""https://www.statnews.com/2020/06/17/racial-bias-skews-algorithms-widely-used-to-guide-patient-care/"" target=""_blank"">Racial bias skews algorithms widely used to guide care from heart surgery to birth.</a>","A study found that ""the racial bias is created because the algorithm's developers equated higher health care spending with worse health. However, white Americans spend more on healthcare than Black Americans even when their health situation is the same.""","<a href=""https://www.statnews.com/2020/06/17/racial-bias-skews-algorithms-widely-used-to-guide-patient-care/"" target=""_blank"">A study found</a> that ""the racial bias is created because the algorithm's developers equated higher health care spending with worse health. However, white Americans spend more on healthcare than Black Americans even when their health situation is the same.""",United States
5,0,Algorithms are propagating caste-based discrimination on dating apps used by the Hindu community in the UK.,"<a href=""https://velivada.com/2020/02/03/digital-discrimination-is-a-reality-why-shadidotcoms-caste-based-matches-shouldnt-surprise-you/"" target=""_blank"">Algorithms are propagating caste-based discrimination on dating apps used by the Hindu community in the UK</a>.","In February 2020 the Sunday Times reported that ""ShaadiDotCom, one of UK’s biggest marriage sites is reinforcing social divisions by allowing caste discrimination against so-called untouchables, officially known as “scheduled caste.""","In February 2020 the <a href=""https://www.thetimes.co.uk/article/indian-dating-site-deems-untouchables-undateable-08xhkpd6b"" target=""_blank"">Sunday Times reported</a> that ""ShaadiDotCom, one of UK’s biggest marriage sites is reinforcing social divisions by allowing caste discrimination against so-called untouchables, officially known as “scheduled caste.""",United Kingdom
5,0,AI trained to identify hate speech may actually end up amplifying racial bias.,AI trained to identify hate speech may actually end up amplifying racial bias.,"As Vox reported, ""In one study, researchers found that leading AI models for processing hate speech were one-and-a-half times more likely to flag tweets as offensive or hateful when they were written by African Americans, and 2.2 times more likely to flag tweets written in African American English (which is commonly spoken by black people in the US). "" Further investigation showed that ""when moderators knew more about the person tweeting, they were significantly less likely to label that tweet as potentially offensive. At the aggregate level, racial bias against tweets associated with black speech decreased by 11 percent."" (...) ""Another study found similar widespread evidence of racial bias against black speech in five widely used academic data sets for studying hate speech that totaled around 155,800 Twitter posts.""","As <a href=""https://www.vox.com/recode/2019/8/15/20806384/social-media-hate-speech-bias-black-african-american-facebook-twitter"" target=""_blank"">Vox reported</a>, ""In <a href=""https://homes.cs.washington.edu/~msap/pdfs/sap2019risk.pdf"" target=""_blank"">one study</a>, researchers found that leading AI models for processing hate speech were one-and-a-half times more likely to flag tweets as offensive or hateful when they were written by African Americans, and 2.2 times more likely to flag tweets written in African American English (which is commonly spoken by black people in the US). "" Further investigation showed that ""when moderators knew more about the person tweeting, they were significantly less likely to label that tweet as potentially offensive. At the aggregate level, racial bias against tweets associated with black speech decreased by 11 percent."" (...) ""<a href=""https://arxiv.org/pdf/1905.12516.pdf"" target=""_blank"">Another study</a> found similar widespread evidence of racial bias against black speech in five widely used academic data sets for studying hate speech that totaled around 155,800 Twitter posts.""",United States
5,0,Facebook’s algorithms have been found to perpetuate race and gender stereotypes that promote financial and job recruiting discrimination.,"<a href=""https://www.theverge.com/2020/7/21/21333405/facebook-instagram-racial-bias-equity-team-formed-ai-algorithms"" target=""_blank"">Facebook’s algorithms have been found to perpetuate race and gender stereotypes that promote financial and job recruiting discriminatio</a>n.","For example, jobs with taxi companies were overwhelmingly delivered to black users and secretarial ads to women, despite neutral targeting preferences.","For example, jobs with taxi companies were overwhelmingly delivered to black users and secretarial ads to women, despite neutral targeting preferences.",Globally
5,0,Biased or incomplete training datasets can result in racial discrimination manifesting via search engine results perpetuating stereotypes and marginalization.,Biased or incomplete training datasets can result in racial discrimination manifesting via search engine results perpetuating stereotypes and marginalization.,"For example, Safiya Umoja Noble has written about how searches for the term “professional hairstyles” in Google returned images of white, blonde women, whereas “unprofessional hairstyles” returned images of Black women. Algorithm Watch has written about machine learning systems at Google and Instagram that consistently assigned negative and harmful labels to images of people with dark skin. For example, the system correctly labels a handheld thermometer when it's held by a light-skinned hand. When a dark-skinned hand holds the same thermometer, the system sees a gun.","For example, Safiya Umoja Noble <a href=""https://nyupress.org/9781479837243/algorithms-of-oppression/"" target=""_blank"">has written</a> about how searches for the term “professional hairstyles” in Google returned images of white, blonde women, whereas “unprofessional hairstyles” returned images of Black women. <a href=""https://algorithmwatch.org/en/story/google-vision-racism/"" target=""_blank"">Algorithm Watch</a> has written about machine learning systems at Google and Instagram that consistently assigned negative and harmful labels to images of people with dark skin. For example, the system correctly labels a handheld thermometer when it's held by a light-skinned hand. When a dark-skinned hand holds the same thermometer, the system sees a gun.",Globally
5,0,Ride-share pricing algorithms charge more for pick-ups originating in non-white areas.,Ride-share pricing algorithms charge more for pick-ups originating in non-white areas.,"Even as Uber and Lyft's policy teams were citing their service of majority-minority neighborhoods in their regulatory battles in cities, their pricing algorithms were charging riders more for pick-ups originating in non-white areas.","Even as Uber and Lyft's policy teams were citing their service of majority-minority neighborhoods in their regulatory battles in cities, their pricing algorithms were <a href=""https://www.newscientist.com/article/2246202-uber-and-lyft-pricing-algorithms-charge-more-in-non-white-areas/"" target=""_blank"">charging riders more</a> for pick-ups originating in non-white areas.",United States
5,0,"Due to a lack of diversity in their training data, common facial recognition systems routinely misidentify Black faces.","Due to a lack of diversity in their training data, common facial recognition systems routinely misidentify Black faces.","The problem was comprehensively described by Joy Buolamwini and Timnit Gebru. In a study by the National Institute of Standards and Technology (NIST), researchers found evidence of racial bias in nearly 200 facial recognition algorithms.","The problem was comprehensively <a href=""http://proceedings.mlr.press/v81/buolamwini18a.html"" target=""_blank"">described by Joy Buolamwini and Timnit Gebru.</a> In a <a href=""https://www.nist.gov/news-events/news/2019/12/nist-study-evaluates-effects-race-age-sex-face-recognition-software"" target=""_blank"">study by the National Institute of Standards and Technology (NIST)</a>, researchers found evidence of racial bias in nearly 200 facial recognition algorithms.",Globally
5,0,UnitedHealth used a discriminatory algorithm for ranking care urgency.,UnitedHealth used a discriminatory algorithm for ranking care urgency.,"New York anti-discrimination regulators probed UnitedHealth for its algorithm after a study found it ranked healthier white patients with the same urgency need as black patients in greater need of care. The algorithm, which used healthcare costs as a poor proxy for need, is sold to hospitals to help determine how to assign additional health-care monitoring resources.","New York <a href=""https://www.wsj.com/articles/new-york-regulator-probes-unitedhealth-algorithm-for-racial-bias-11572087601"" target=""_blank"">anti-discrimination regulators probed UnitedHealth</a> for its algorithm after <a href=""https://www.wsj.com/articles/researchers-find-racial-bias-in-hospital-algorithm-11571941096?mod=article_inline"" target=""_blank"">a study found</a> it ranked healthier white patients with the same urgency need as black patients in greater need of care. The algorithm, which used healthcare costs as a poor proxy for need, is sold to hospitals to help determine how to assign additional health-care monitoring resources.",United States
5,0,"Discriminatory targeted ads focusing on housing, jobs, and credit persist after changes.","<a href=""https://www.theverge.com/2019/3/19/18273018/facebook-housing-ads-jobs-discrimination-settlement"" target=""_blank"">Discriminatory targeted ads focusing on housing, jobs, and credit persist after changes.</a>","Facebook was found to have been allowing advertisers to exclude certain minority groups when advertising within federally regulated markets like housing and jobs. Facebook often sidestepped the concerns using technicalities, such as classifying users not by race but by so-called “ethnic” or “multicultural” affinities, or self-selecting identity groups consistent with what a majority of Black, Hispanic, or other minorities might statistically like on the platform. Only after rigorous coverage from media outlets, most prominently ProPublica, did Facebook eventually disable ad targeting options for housing, job, and credit ads as part of a legal settlement with civil rights groups (NFHA, ACLU, CWA). However, even when Facebook changed its ad platform to prevent advertisers from selecting attributes like “ethnic affinity” for categories like housing or jobs, it was determined that the platform still enabled discrimination by allowing advertisers to target users through proxy attributes.","Facebook was found to have been allowing advertisers to exclude certain minority groups when advertising within federally regulated markets like housing and jobs. Facebook often sidestepped the concerns using technicalities, such as classifying users not by race but by so-called “ethnic” or “multicultural” affinities, or self-selecting identity groups consistent with what a majority of Black, Hispanic, or other minorities might statistically like on the platform. Only after rigorous coverage from media outlets, <a href=""https://www.propublica.org/article/facebook-ads-can-still-discriminate-against-women-and-older-workers-despite-a-civil-rights-settlement"" target=""_blank"">most prominently ProPublica</a>, did Facebook eventually <a href=""https://about.fb.com/news/2019/03/protecting-against-discrimination-in-ads/"" target=""_blank"">disable </a>ad targeting options for housing, job, and credit ads as part of a legal settlement with civil rights groups (<a href=""https://nationalfairhousing.org/"" target=""_blank"">NFHA</a>, <a href=""https://www.aclu.org/blog/womens-rights/womens-rights-workplace/facebook-settles-civil-rights-cases-making-sweeping"" target=""_blank"">ACLU</a>, <a href=""https://cwa-union.org/news/releases/class-action-lawsuit-hits-tmobile-amazon-cox-for-alleged-age-discrimination"" target=""_blank"">CWA</a>). However, even when Facebook changed its ad platform to prevent advertisers from selecting attributes like “ethnic affinity” for categories like housing or jobs, it was determined that the platform still enabled discrimination by allowing advertisers to<a href=""https://hal.archives-ouvertes.fr/hal-01955343"" target=""_blank""> target users through proxy attributes</a>.",United States
